dataset,parameter_modified,parameter_value1,parameter_value2,total_cost,execution_time,is_feasible,error,dataset_name
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,demand_capacity_factor,1.1,0.0,777.323960726419,15.328897953033447,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,demand_capacity_factor,1.2,0.0,767.0637209137011,8.518975019454956,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-15.0,-15.0,inf,0.1070961952209472,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-15.0,-5.0,inf,0.1082887649536132,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-15.0,0.0,inf,0.1071741580963134,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-15.0,5.0,inf,0.1073951721191406,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-15.0,15.0,inf,0.1050660610198974,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-5.0,-15.0,inf,0.1072540283203125,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-5.0,-5.0,inf,0.1080729961395263,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_amount,-5.0,0.0,inf,0.1085162162780761,True,Unable to retrieve attribute 'ObjVal',R202_C50y.txt
